program,hallmark,linScore,wangScore,jiangScore
169,Genome_Instability_And_Mutation,0.908,0.833,0.919
169,Tumor_Promoting_Inflammation,0.812,0.639,0.799
169,Reprogramming_Energy_Metabolism,1,1,1
169,Evading_ImmuneDetection,0.914,0.86,0.922
170,Self_Sufficiency_In_Growth_Signals,1,1,1
170,Insensitivity_To_Antigrowth_Signals,0.932,0.915,0.93
170,Evading_Apoptosis,0.869,0.828,0.882
170,Limitless_Replicative_Potential,0.711,0.564,0.705
170,Sustained_Angiogenesis,1,1,1
170,Tissue_Invasion_And_Metastasis,1,1,1
170,Genome_Instability_And_Mutation,0.876,0.66,0.872
170,Tumor_Promoting_Inflammation,1,1,1
170,Reprogramming_Energy_Metabolism,1,1,1
170,Evading_ImmuneDetection,0.882,0.831,0.907
172,Self_Sufficiency_In_Growth_Signals,1,1,1
172,Insensitivity_To_Antigrowth_Signals,1,1,1
172,Evading_Apoptosis,0.869,0.717,0.882
172,Limitless_Replicative_Potential,0.896,0.756,0.889
172,Sustained_Angiogenesis,1,1,1
172,Tissue_Invasion_And_Metastasis,1,1,1
172,Genome_Instability_And_Mutation,0.963,0.708,0.963
172,Tumor_Promoting_Inflammation,1,1,1
172,Reprogramming_Energy_Metabolism,1,1,1
172,Evading_ImmuneDetection,1,1,1
174,Self_Sufficiency_In_Growth_Signals,1,1,1
174,Insensitivity_To_Antigrowth_Signals,0.932,0.915,0.93
174,Evading_Apoptosis,0.841,0.751,0.871
174,Limitless_Replicative_Potential,1,1,1
174,Sustained_Angiogenesis,0.94,0.918,0.948
174,Tissue_Invasion_And_Metastasis,1,1,1
174,Genome_Instability_And_Mutation,0.727,0.66,0.731
174,Tumor_Promoting_Inflammation,0.953,0.841,0.956
174,Reprogramming_Energy_Metabolism,0.984,0.87,0.983
174,Evading_ImmuneDetection,0.744,0.831,0.81
177,Self_Sufficiency_In_Growth_Signals,1,1,1
177,Insensitivity_To_Antigrowth_Signals,1,1,1
177,Evading_Apoptosis,0.841,0.594,0.871
177,Limitless_Replicative_Potential,0.743,0.601,0.705
177,Sustained_Angiogenesis,1,1,1
177,Tissue_Invasion_And_Metastasis,1,1,1
177,Genome_Instability_And_Mutation,1,1,1
177,Tumor_Promoting_Inflammation,1,1,1
177,Reprogramming_Energy_Metabolism,1,1,1
177,Evading_ImmuneDetection,0.914,0.86,0.922
